S_DT,S_HJ,SN_HJ,S_CARE,S_RECOVER,SN_RECOVER,S_DEATH,SY_TOTAL,SY_KJ,SY_KH,T_DT,T_HJ,N_HJ,TY_CARE,RECOVER,DEATH,TY_TOTAL,TY_KJ,TY_KH,JGK_OVERSEAS_GS,JGK_OVERSEAS_GH,JGK_CONT_GS,JGK_CONT_GH,CHECKING,DAY_DEATH,ALL_DAY_DEATH
2020.09.03.00,4131,69,1996,2111,63,24,,,,2020.09.03.00,20644,195,4786,15529,329,,,,,,,,0,,
2020.09.02.00,4062,101,1990,2048,47,24,,,,2020.09.02.00,20449,267,4767,15356,326,,,,,,,,0,,
2020.09.01.00,3961,94,1937,2001,112,23,,,,2020.09.01.00,20182,235,4660,15198,324,,,,,,,,0,,
2020.08.31.00,3867,94,1945,1899,11,23,,,,2020.08.31.00,19947,248,4650,14973,324,,,,,,,,0,,
2020.08.30.00,3773,116,1863,1888,1,22,,,,2020.08.30.00,19699,299,4473,14903,323,,,,,,,,0,,
2020.08.29.00,3657,125,1750,1887,125,20,,,,2020.08.29.00,19400,323,4314,14765,321,,,,,,,,0,,
2020.08.28.00,3532,146,1751,1762,29,19,,,,2020.08.28.00,19077,371,4210,14551,316,,,,,,,,0,,
2020.08.27.00,3386,154,1636,1733,34,17,,,,2020.08.27.00,18706,441,3932,14461,313,,,,,,,,0,,
2020.08.26.00,3232,112,1516,1699,28,17,,,,2020.08.26.00,18265,320,3585,14368,312,,,,,,,,0,,
2020.08.25.00,3120,134,1433,1671,32,16,,,,2020.08.25.00,17945,280,3349,14286,310,,,,,,,,0,,
2020.08.24.00,2986,97,1331,1639,0,16,,,,2020.08.24.00,17665,266,3137,14219,309,,,,,,,,0,,
2020.08.23.00,2889,140,1234,1639,0,16,,,,2020.08.23.00,17399,397,2890,14200,309,,,,,,,,0,,
2020.08.22.00,2749,128,1094,1639,17,16,,,,2020.08.22.00,17002,332,2524,14169,309,,,,,,,,0,,
2020.08.21.00,2621,126,983,1622,21,16,,,,2020.08.21.00,16670,324,2241,14120,309,,,,,,,,0,,
2020.08.20.00,2495,135,879,1601,13,15,,,,2020.08.20.00,16346,288,1976,14063,307,,,,,,,,0,,
2020.08.19.00,2360,151,758,1588,15,14,,,,2020.08.19.00,16058,297,1746,14006,306,,,,,,,,0,,
2020.08.18.00,2209,132,622,1573,2,14,,,,2020.08.18.00,15761,246,1521,13934,306,,,,,,,,0,,
2020.08.17.00,2077,90,493,1571,0,13,,,,2020.08.17.00,15515,197,1293,13917,305,,,,,,,,0,,
2020.08.16.00,1987,146,403,1571,0,13,,,,2020.08.16.00,15318,279,1103,13910,305,,,,,,,,0,,
2020.08.15.00,1841,74,257,1571,7,13,,,,2020.08.15.00,15039,166,833,13901,305,,,,,,,,0,,
2020.08.14.00,1767,32,190,1564,8,13,,,,2020.08.14.00,14873,103,705,13863,305,,,,,,,,0,,
2020.08.13.00,1735,26,166,1556,7,13,,,,2020.08.13.00,14770,56,648,13817,305,,,,,,,,0,,
2020.08.12.00,1709,15,147,1549,15,13,,,,2020.08.12.00,14714,54,623,13786,305,,,,,,,,0,,
2020.08.11.00,1694,6,147,1534,18,13,,,,2020.08.11.00,14660,34,626,13729,305,,,,,,,,0,,
2020.08.10.00,1688,13,159,1516,1,13,,10711,354960,2020.08.10.00,14626,28,663,13658,305,,16396,1597281,7891,97189,2294,35407,0,,
2020.08.09.00,1675,13,147,1515,1,13,364796,10606,354190,2020.08.09.00,14598,36,651,13642,305,1624650,16803,1593249,7864,96474,2159,35397,0,,
2020.08.08.00,1662,17,135,1514,12,13,363698,10414,353284,2020.08.08.00,14562,43,629,13629,304,1620514,16105,1589847,7682,95603,2080,35307,0,,
2020.08.07.00,1645,9,130,1502,15,13,362228,10391,351837,2020.08.07.00,14519,20,673,13543,303,1599133,17068,1582065,7481,95070,2192,35129,0,,
2020.08.06.00,1636,9,136,1488,13,12,360452,11135,349317,2020.08.06.00,14499,43,697,13500,302,1591988,18031,1573957,7437,94591,2264,34988,0,,
2020.08.05.00,1627,6,140,1475,12,12,358074,11202,346872,2020.08.05.00,14456,33,748,13406,302,1583731,18490,1565241,7264,94028,2225,34906,0,,
2020.08.04.00,1621,9,147,1463,14,11,355722,11017,344705,2020.08.04.00,14423,34,770,13352,301,1575357,18724,1556633,7111,93620,2246,34804,0,,
2020.08.03.00,1612,5,152,1449,7,11,354151,11027,343124,2020.08.03.00,14389,23,808,13280,301,1565368,17401,1547967,7022,92605,2227,34773,0,,
2020.08.02.00,1607,5,154,1442,8,11,353323,10917,342406,2020.08.02.00,14366,30,806,13259,301,1561880,17768,1544112,6428,91296,2422,34542,0,,
2020.08.01.00,1602,2,157,1434,10,11,352175,11066,341109,2020.08.01.00,14336,31,802,13233,301,1557494,18278,1539216,6428,91296,2422,34542,0,,
2020.07.31.00,1600,8,165,1424,7,11,350384,11185,339199,2020.07.31.00,14305,36,821,13183,301,1549491,18330,1531161,6332,90716,2528,34248,0,,
2020.07.30.00,1592,3,164,1417,7,11,347944,10991,336953,2020.07.30.00,14269,18,837,13132,300,1541946,19018,1522928,6254,90166,2503,34125,0,,
2020.07.29.00,1589,9,168,1410,10,11,345761,10862,334899,2020.07.29.00,14251,48,882,13069,300,1533056,19326,1513730,6115,89543,2367,34020,0,,
